datetime,Qh,Qtau,Ustar,T_air,Rho_air,Wind_vel,Cd,qc_tot,qc_tot_ext
2023-12-25 13:30:00,-14.61,0.387,0.543415126767741,-3.79,1.3105316627158825,3.68,0.021805588374291116,1,1
2023-12-25 14:00:00,-12.38,0.3705,0.5316954015223377,-3.79,1.310576582950124,4.03,0.017406670812578115,1,1
2023-12-25 14:30:00,-7.9,0.477,0.603241245274227,-3.83,1.3107996702390765,3.71,0.026438343226218932,1,1
2023-12-25 15:00:00,-8.43,0.3812,0.5392587505085106,-3.89,1.310866574965612,3.93,0.01882822161360708,1,1
2023-12-25 15:30:00,1.84,0.7064,0.7339618518697003,-3.94,1.3113049935028778,3.81,0.03711051866548177,1,1
2023-12-25 16:00:00,11.08,0.4113,0.5595533933415112,-4.4,1.3136378153944428,4.08,0.018808871587850825,1,1
2023-12-25 16:30:00,7.13,0.4151,0.5619608527290847,-4.59,1.3144395186827105,3.66,0.023574905192749854,1,1
2023-12-25 17:00:00,2.38,0.4784,0.603241245274227,-4.63,1.3146468810112666,3.63,0.027616510711927694,1,1
2023-12-25 17:30:00,-0.92,0.3636,0.5259277516921882,-4.59,1.3145336225596531,4.2,0.01568027210884353,1,1
2023-12-25 18:00:00,1.72,0.4441,0.5812056434688156,-4.66,1.3146832445233865,3.68,0.02494387996219282,1,1
2023-12-25 18:30:00,9.25,0.4276,0.5702630971753301,-4.71,1.3148831488314885,3.56,0.025659638934477966,1,1
2023-12-25 19:00:00,6.08,0.2256,0.4142463035441596,-4.68,1.3146853146853146,3.18,0.016969265456271507,1,1
2023-12-25 19:30:00,5.41,0.2977,0.4759201613716317,-4.55,1.314348785871965,3.42,0.019364932799835838,1,1
2023-12-25 20:00:00,7.39,0.2738,0.4565084884205331,-4.47,1.3138195777351247,3.88,0.013843128919119992,1,1
2023-12-25 20:30:00,12.01,0.4151,0.5621387729022078,-4.43,1.3136075949367092,3.85,0.021318940799460277,1,1
2023-12-25 21:00:00,14.91,0.4056,0.5556977595779922,-4.42,1.3134715025906738,3.16,0.030924531325108154,1,1
2023-12-25 21:30:00,10.42,0.322,0.4951767361255978,-4.38,1.3132137030995108,2.89,0.029357886040636477,1,1
2023-12-25 22:00:00,5.01,0.1134,0.2937686164313676,-4.41,1.3140208574739278,3.0,0.009588888888888886,1,1
2023-12-25 22:30:00,3.04,0.1842,0.3744329045369811,-4.49,1.3138373751783168,2.46,0.02316742679621918,1,1
2023-12-25 23:00:00,1.06,0.1619,0.3509985754956848,-4.45,1.3141233766233766,2.92,0.014449240007506093,1,1
2023-12-25 23:30:00,0.13,0.2055,0.3956008088970496,-4.3,1.3130990415335464,3.0,0.017388888888888888,1,1
2023-12-26 00:00:00,-3.96,0.1808,0.3710795063055894,-4.27,1.3129992737835876,2.56,0.021011352539062493,1,1
2023-12-26 00:30:00,-1.45,0.0828,0.2511971337416094,-4.26,1.312202852614897,2.48,0.010259495317377732,1,1
2023-12-26 01:00:00,4.09,0.0181,0.1174734012447073,-4.12,1.311594202898551,2.26,0.002701856057639596,1,1
2023-12-26 01:30:00,1.45,0.0191,0.1208304597359457,-3.96,1.3082191780821917,2.25,0.00288395061728395,1,1
2023-12-26 02:00:00,1.18,0.0321,0.1565247584249852,-3.73,1.3102040816326528,2.57,0.0037093672879226,1,1
2023-12-26 02:30:00,0.39,0.0293,0.1496662954709576,-3.63,1.3080357142857142,2.32,0.004161712247324611,1,1
2023-12-26 03:00:00,-0.13,0.0446,0.1846618531261938,-3.37,1.30791788856305,3.15,0.0034366339128243857,1,1
2023-12-26 03:30:00,-1.44,0.0379,0.170293863659264,-3.06,1.3068965517241378,3.53,0.002327279730998563,1,1
2023-12-26 04:00:00,-18.23,0.0463,0.1884144368141677,-2.71,1.304225352112676,3.8,0.0024584487534626033,1,1
2023-12-26 04:30:00,-17.68,0.051,0.1977371993328519,-2.36,1.3043478260869563,3.9,0.0025706771860618018,1,1
2023-12-26 05:00:00,-21.98,0.0667,0.2262741699796952,-2.02,1.3027343749999998,3.94,0.003298204024839599,1,1
2023-12-26 05:30:00,-21.99,0.1009,0.2782085548648711,-2.25,1.3036175710594315,4.13,0.0045377530500853025,1,1
2023-12-26 06:00:00,-26.57,0.2477,0.4360045871318328,-2.21,1.3029984218832191,4.12,0.01119921764539542,1,1
2023-12-26 06:30:00,-29.18,0.3227,0.4977951385861457,-2.07,1.3022598870056497,4.65,0.011460284425945195,1,1
2023-12-26 07:00:00,-27.94,0.3932,0.5500909015790026,-1.51,1.2994051553205552,4.67,0.013875069352420341,1,1
2023-12-26 07:30:00,-26.49,0.3344,0.5073460357586329,-1.41,1.299145299145299,4.33,0.0137288054232515,1,1
2023-12-26 08:00:00,-19.98,0.3412,0.51234753829798,-1.54,1.2998095238095235,4.09,0.015692158703020674,1,1
2023-12-26 08:30:00,-16.85,0.6769,0.7215954545311383,-1.62,1.2999807950835411,4.99,0.020911562604166246,1,1
2023-12-26 09:00:00,-12.41,0.9034,0.833486652562595,-1.71,1.3004174463797322,6.32,0.01739254526518186,1,1
2023-12-26 09:30:00,9.03,1.03,0.8894380248224156,-2.01,1.3019845784350903,6.44,0.019074784923421167,1,1
2023-12-26 10:00:00,-7.2,0.9602,0.8584287972802404,-2.23,1.3030261907992944,6.75,0.016173388203017836,1,1
2023-12-26 10:30:00,-6.42,1.0142,0.881816307401944,-2.51,1.3042695473251031,6.12,0.02076124567474048,1,1
2023-12-26 11:00:00,5.51,1.5003,1.0719141756689292,-2.8,1.3057441253263706,6.75,0.02521810699588477,1,1
2023-12-26 11:30:00,-8.93,0.9508,0.8529947244854449,-3.01,1.3067619571192963,5.9,0.020902039643780523,1,1
2023-12-26 12:00:00,-8.01,0.5611,0.655133574166368,-3.15,1.3073159366262816,5.24,0.015631373463084897,1,1
2023-12-26 12:30:00,-5.39,0.5665,0.657875368135941,-3.44,1.3089186691312389,5.34,0.015177657142055575,1,1
2023-12-26 13:00:00,-15.53,0.363,0.5264978632435273,-3.6,1.3095238095238095,4.34,0.014716812843763938,1,1
2023-12-26 13:30:00,-32.52,0.592,0.6720863039818621,-3.81,1.3106043834403367,4.92,0.018660354286469696,1,1
2023-12-26 14:00:00,-13.04,0.6043,0.6788225099390857,-3.97,1.3114149305555554,5.64,0.014486192847442285,1,1
2023-12-26 14:30:00,-19.64,0.3685,0.5299056519796708,-4.15,1.3123219373219377,4.29,0.015257469802924346,1,1
2023-12-26 15:00:00,-23.21,0.4129,0.5608029957123981,-4.25,1.3128775834658186,4.36,0.01654427236764582,1,1
2023-12-26 15:30:00,-24.68,0.1997,0.3898717737923585,-4.4,1.3138157894736842,4.75,0.006736842105263155,1,1
2023-12-26 16:00:00,-27.72,0.293,0.4722287581247038,-4.49,1.3139013452914798,4.73,0.009967415936244292,1,1
2023-12-26 16:30:00,-25.35,0.2539,0.4395452195167182,-4.5,1.3141821946169772,4.99,0.007759004983915727,1,1
2023-12-26 17:00:00,-16.24,0.1977,0.3878143885933063,-4.58,1.314494680851064,4.39,0.007804027583916646,1,1
2023-12-26 17:30:00,-6.87,0.1756,0.3655133376499413,-4.6,1.31437125748503,5.66,0.004170360473972705,1,1
2023-12-26 18:00:00,-11.88,0.1769,0.3668787265568828,-4.52,1.3142644873699851,5.96,0.003789243727760011,1,1
2023-12-26 18:30:00,-8.84,0.142,0.3287856444554719,-4.5,1.3135985198889917,5.12,0.004123687744140624,1,1
2023-12-26 19:00:00,-7.13,0.1102,0.2896549671592048,-4.44,1.3134684147794993,4.92,0.003466025513913676,1,1
2023-12-26 19:30:00,-7.78,0.1321,0.3171750305430741,-4.3,1.3131212723658052,4.74,0.00447755879577703,1,1
2023-12-26 20:00:00,-7.52,0.1254,0.3090307428072488,-4.29,1.3130890052356023,4.39,0.004955349961861965,1,1
2023-12-26 20:30:00,-3.3,0.0798,0.246576560118759,-4.26,1.3125,3.99,0.0038190714882444183,1,1
2023-12-26 21:00:00,-0.66,0.104,0.2814249455894058,-4.37,1.313131313131313,3.68,0.005848298676748582,1,1
2023-12-26 21:30:00,0.13,0.1299,0.3144837038703277,-4.44,1.313447927199191,4.38,0.005155230291278329,1,1
2023-12-26 22:00:00,-4.36,0.1799,0.37,-4.56,1.3140978816654494,4.28,0.007473360118787666,1,1
2023-12-26 22:30:00,-1.45,0.1074,0.285832118559129,-4.65,1.314565483476132,3.55,0.006482840706209084,1,1
2023-12-26 23:00:00,-4.09,0.1403,0.3266496594212215,-4.61,1.3149015932521089,4.55,0.005153966912208671,1,1
2023-12-26 23:30:00,1.32,0.135,0.3204684071792413,-4.54,1.3145082765335931,2.48,0.016698100936524456,1,1
2023-12-27 00:00:00,1.32,0.1038,0.2810693864511039,-4.6,1.3139240506329115,2.52,0.012440161249685057,1,1
2023-12-27 00:30:00,4.09,0.1387,0.3248076353782343,-4.66,1.3146919431279618,3.42,0.009019869361512946,1,1
2023-12-27 01:00:00,3.57,0.0761,0.2406241883103193,-4.71,1.31433506044905,2.81,0.0073327338812831655,1,1
2023-12-27 01:30:00,1.45,0.0538,0.2022374841615668,-4.77,1.315403422982885,2.21,0.00837411191417047,1,1
2023-12-27 02:00:00,0.26,0.035,0.1630950643030009,-4.79,1.3157894736842106,2.91,0.003141200505426246,1,1
2023-12-27 02:30:00,5.42,0.0362,0.1658312395177699,-4.77,1.3163636363636366,2.67,0.003857537628526136,1,1
2023-12-27 03:00:00,3.97,0.0159,0.11,-4.85,1.3140495867768596,2.2,0.0024999999999999996,1,1
2023-12-27 03:30:00,3.3,0.0197,0.1224744871391589,-4.82,1.3133333333333332,1.89,0.004199210548416898,1,1
2023-12-27 04:00:00,3.3,0.0147,0.1058300524425836,-4.79,1.3125000000000002,1.85,0.0032724616508400277,1,1
2023-12-27 04:30:00,2.51,0.0142,0.1039230484541326,-4.75,1.3148148148148149,1.91,0.0029604451632356554,1,1
2023-12-27 05:00:00,4.23,0.0036,0.0519615242270663,-4.85,1.3333333333333333,2.12,0.0006007475970096115,1,1
2023-12-27 05:30:00,1.45,0.0074,0.0748331477354788,-4.85,1.3214285714285714,1.81,0.0017093495314550826,1,1
2023-12-27 06:00:00,-3.44,0.0146,0.1053565375285273,-4.78,1.3153153153153152,1.68,0.0039328231292516955,1,1
2023-12-27 06:30:00,-0.79,0.0135,0.1014889156509221,-4.78,1.3106796116504855,1.66,0.003737842938017122,1,1
2023-12-27 07:00:00,-5.95,0.0291,0.148660687473185,-4.7,1.3167420814479638,1.29,0.013280451895919707,1,1
2023-12-27 07:30:00,0.93,0.0668,0.2253885533916929,-4.8,1.31496062992126,1.47,0.02350872321717803,1,1
2023-12-27 08:00:00,4.49,0.0695,0.23,-4.54,1.3137996219281665,1.47,0.02448054051552594,1,1
2023-12-27 08:30:00,46.45,0.2196,0.4089009660052174,-4.37,1.3133971291866031,1.83,0.04992684164949684,1,1
2023-12-27 09:00:00,44.46,0.1581,0.3469870314579494,-4.34,1.3131229235880395,1.67,0.04317114274445121,1,1
2023-12-27 09:30:00,16.61,0.0748,0.2387467277262664,-4.14,1.3122807017543858,1.49,0.025674519165803333,1,1
2023-12-27 10:00:00,13.05,0.169,0.3588871688985272,-4.06,1.312111801242236,3.37,0.011341123017724905,1,1
2023-12-27 10:30:00,19.63,0.161,0.3504283093587046,-3.9,1.3110749185667752,2.71,0.016720905216432238,1,1
2023-12-27 11:00:00,15.93,0.2058,0.396232255123179,-3.82,1.3108280254777072,2.93,0.018287924145884052,1,1
2023-12-27 11:30:00,9.48,0.1546,0.3435112807463533,-3.78,1.3101694915254238,2.76,0.015490443184204995,1,1
2023-12-27 12:00:00,1.45,0.1055,0.2837252191822221,-3.85,1.31055900621118,2.64,0.011550160697887966,1,1
2023-12-27 12:30:00,0.26,0.0658,0.2240535650240808,-3.91,1.3107569721115535,2.09,0.011492410888029124,1,1
2023-12-27 13:00:00,-1.58,0.0706,0.231948270094864,-3.96,1.312267657992565,2.38,0.009497916813784335,1,1
2023-12-27 13:30:00,-0.4,0.0787,0.2449489742783178,-4.1,1.3116666666666668,2.86,0.007335322020636707,1,1
2023-12-27 14:00:00,-3.95,0.1722,0.3622154055254967,-4.13,1.3124999999999998,3.42,0.011217126637255909,1,1
2023-12-27 14:30:00,1.45,0.069,0.2293468988235943,-4.24,1.311787072243346,2.55,0.008089196462898886,1,1
