datetime_utc,Qh,Qle,Qtau,Ustar,Rho_air,Wind_vel,Wind_U_std,Wind_V_std,Wind_W_std,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-12-02 01:00:00,-36.90856844600297,14.813778142,0.2019453465589431,0.3965345,1.285185,1.877617,1.037875,0.7379941,0.6812777,0.04460134337308236,1,1,1,1
2023-12-02 01:30:00,-45.99611855390538,24.812853673000003,0.2861711977578794,0.47279,1.28108,2.020725,1.290001,0.7531465,0.8752314,0.05474218592872102,1,1,1,1
2023-12-02 02:00:00,30.53288427231116,4.8503268550000005,0.2456459913124959,0.4390003,1.275483,1.376517,1.0793,0.8190087,0.6225002,0.10171066069986946,1,1,1,1
2023-12-02 02:30:00,-20.01248312130891,17.926430205,0.3033346012976362,0.4892701,1.268007,1.370846,0.9545529,0.8161612,0.7013909,0.12738550529355586,1,1,1,1
2023-12-02 03:00:00,252.90042506666023,-1.1043270542,0.3389064148788193,0.5183379,1.262174,0.7092306,0.9285925,1.01921,0.8034828,0.5341349542891941,1,1,1,1
2023-12-02 03:30:00,167.45607505908194,13.910466962,0.4371899466044636,0.5899467,1.256826,1.186746,1.378838,1.045685,0.8051508,0.24712119712428024,1,1,1,1
2023-12-02 04:00:00,109.09981419839497,16.317176761,0.5364358836215976,0.6544377,1.253136,2.502998,1.652052,1.108499,1.111614,0.06836213445546635,1,1,1,1
2023-12-02 04:30:00,139.91227180079602,7.971632377999999,0.4522679469079229,0.6017419,1.249617,3.381109,1.780031,1.288518,1.239196,0.031673945306562666,1,1,1,1
2023-12-02 05:00:00,111.3167110790652,4.201344866,0.5492905854652248,0.6639072,1.24678,1.089547,1.400827,1.205139,1.06328,0.37129817845405494,1,1,1,1
2023-12-02 05:30:00,59.21300810960225,3.634048038,0.9003963121164533,0.8504571,1.245491,2.703498,2.02172,1.161863,1.127597,0.09895841191365794,1,1,1,1
2023-12-02 06:00:00,109.01468388186996,11.811462696,0.4033271884301155,0.5695301,1.244062,3.622546,1.353201,1.120058,0.9044363,0.02471755706982141,1,1,1,1
2023-12-02 06:30:00,46.4096422949627,6.942520898000001,0.3751802426615888,0.5497592,1.241984,3.496619,1.241565,0.9655408,0.8309107,0.024719995390800557,1,1,1,1
2023-12-02 07:00:00,44.904693488800696,5.462801746999999,0.3376185739937934,0.5217676,1.240779,2.660202,1.027766,0.8480178,0.791845,0.03847024777728371,1,1,1,1
2023-12-02 07:30:00,28.001106566626422,0.04440142847,0.1950979045920573,0.3968087,1.239696,1.475621,1.097769,0.7350925,0.7163275,0.07231239015268136,1,1,1,1
2023-12-02 08:00:00,7.351796311512595,2.1506071489000003,0.1028098567352485,0.2880779,1.239493,0.7576829,0.5403249,0.5386724,0.4483512,0.14455892610750434,1,1,1,1
2023-12-02 08:30:00,-1.947309569085918,1.8895600218,0.0589147792041037,0.2180781,1.239473,0.9632701,0.4975626,0.4296955,0.3198306,0.05125402183215722,1,1,1,1
2023-12-02 09:00:00,2.320789021929145,-0.3993459245,0.0236330307821808,0.1381309,1.2393,1.454422,0.4538423,0.2797337,0.185479,0.009019881097776777,1,1,1,1
2023-12-02 09:30:00,6.227035549442958,-0.7235925712999999,0.0079077115430565,0.0798627,1.240525,1.673297,0.5373045,0.1880464,0.09106147,0.00227793806919141,1,1,1,1
2023-12-02 10:00:00,-0.84898837133778,0.015460369175,0.0050232500711777,0.06360433,1.24239,1.197619,0.2417116,0.2004049,0.0905715,0.002820564331480142,1,1,1,1
2023-12-02 10:30:00,18.514519166543817,-0.8086713391999999,0.0258758879113952,0.1441976,1.245182,0.1992985,0.2536154,0.7564039,0.06747469,0.523489534972381,1,1,1,1
2023-12-02 11:00:00,0.445483050492564,-0.06582864593,0.0064293096471908,0.07171683,1.250763,1.075746,0.2737293,0.2551753,0.095486,0.004444497740952368,1,1,1,1
2023-12-02 11:30:00,-3.2686251940821465,0.07368578753,0.0049362427039148,0.06279846,1.252424,1.67592,0.2437665,0.2189937,0.105908,0.001404078599141695,1,1,1,1
2023-12-02 12:00:00,-0.4175460833037769,-0.171883726,0.0072022183897538,0.07585061,1.252571,1.805747,0.2341191,0.200294,0.09086639,0.0017644296677442161,1,1,1,1
2023-12-02 12:30:00,-3.218229824487232,0.3787656956999999,0.0014713944796241,0.03428988,1.252133,1.259799,0.2486954,0.2969774,0.09460113,0.000740848510374688,1,1,1,1
2023-12-02 13:00:00,-8.578353936248327,0.6919429165000001,0.0034234308496146,0.05226324,1.254079,1.058718,0.3056723,0.148525,0.0780782,0.002436868341490952,1,1,1,1
2023-12-02 13:30:00,-14.024022576408925,-0.9820816756,0.0226658362316937,0.1344126,1.255332,1.24907,0.3497964,0.4528309,0.09793347,0.0115799426495538,1,1,1,1
2023-12-02 14:00:00,1.8068633543993124,-1.4679416919,0.0260044845382323,0.1438389,1.25771,2.113338,0.4069527,0.342585,0.1877897,0.00463249310914143,1,1,1,1
2023-12-02 14:30:00,-11.58047763226253,-0.2844507347999999,0.0206623447277013,0.1280019,1.261979,1.635051,0.3706804,0.2934216,0.1612032,0.006128726276309732,1,1,1,1
2023-12-02 15:00:00,1.6168631441231531,-0.8531363681,0.0100758688652264,0.08934398,1.263178,1.763716,0.228307,0.3368863,0.08729216,0.0025660982507750563,1,1,1,1
2023-12-02 15:30:00,-10.603506705004207,-1.2725580697,0.0117337809459582,0.09643635,1.262676,2.066916,0.4435647,0.2233112,0.1465302,0.002176886944124386,1,1,1,1
2023-12-02 16:00:00,1.518426389885765,0.4827862873,0.0027006155606815,0.04625654,1.26322,2.345749,0.3463299,0.2743855,0.1088548,0.00038885098994454804,1,1,1,1
